location_code,year,who_tb_deaths_rate_per_100k,who_tb_deaths_rate_per_100k_low,who_tb_deaths_rate_per_100k_high,who_tb_treatment_coverage_percent,who_tb_treatment_coverage_percent_low,who_tb_treatment_coverage_percent_high,who_tb_new_relapse_cases,who_tb_new_relapse_cases_low,who_tb_new_relapse_cases_high,who_tb_deaths_excluding_hiv_count,who_tb_deaths_excluding_hiv_count_low,who_tb_deaths_excluding_hiv_count_high,who_tb_incident_hiv_positive_count,who_tb_incident_hiv_positive_count_low,who_tb_incident_hiv_positive_count_high,who_tb_incident_hiv_positive_per_100k,who_tb_incident_hiv_positive_per_100k_low,who_tb_incident_hiv_positive_per_100k_high,who_tb_treatment_success_previously_treated_percent,who_tb_treatment_success_previously_treated_percent_low,who_tb_treatment_success_previously_treated_percent_high,who_tb_mdr_treatment_success_percent,who_tb_mdr_treatment_success_percent_low,who_tb_mdr_treatment_success_percent_high,who_tb_smear_positive_treatment_success_percent,who_tb_smear_positive_treatment_success_percent_low,who_tb_smear_positive_treatment_success_percent_high,who_tb_hiv_status_known_percent,who_tb_hiv_status_known_percent_low,who_tb_hiv_status_known_percent_high,who_tb_hiv_positive_percent,who_tb_hiv_positive_percent_low,who_tb_hiv_positive_percent_high,who_tb_notified_cases_count,who_tb_notified_cases_count_low,who_tb_notified_cases_count_high,who_tb_hiv_positive_on_art_percent,who_tb_hiv_positive_on_art_percent_low,who_tb_hiv_positive_on_art_percent_high,who_tb_smear_positive_case_detection_percent,who_tb_smear_positive_case_detection_percent_low,who_tb_smear_positive_case_detection_percent_high,who_tb_mdr_rr_incident_count,who_tb_mdr_rr_incident_count_low,who_tb_mdr_rr_incident_count_high,who_tb_mdr_treatment_started_count,who_tb_mdr_treatment_started_count_low,who_tb_mdr_treatment_started_count_high,who_tb_new_cases_rr_mdr_tested_percent,who_tb_new_cases_rr_mdr_tested_percent_low,who_tb_new_cases_rr_mdr_tested_percent_high,who_tb_previously_treated_rr_mdr_tested_percent,who_tb_previously_treated_rr_mdr_tested_percent_low,who_tb_previously_treated_rr_mdr_tested_percent_high,date,location,source
KOR,2017,4.2,4.0,4.4,94.0,87.0,100.0,33467.0,,,2200.0,2100.0,2300.0,,,,,,,77.0,,,73.0,,,,,,,,,,,,,,,,,,,,,1700.0,1500.0,1900.0,809.0,,,93.0,,,61.0,,,2017-12-31,South Korea,WHO GHO tuberculosis auxiliary indicators
KOR,2018,4.1,3.9,4.3,94.0,87.0,100.0,31052.0,,,2100.0,2000.0,2200.0,,,,,,,78.0,,,76.0,,,,,,,,,,,,,,,,,,,,,1500.0,1400.0,1700.0,794.0,,,85.0,,,82.0,,,2018-12-31,South Korea,WHO GHO tuberculosis auxiliary indicators
KOR,2019,3.7,3.5,3.9,94.0,87.0,100.0,27956.0,,,1900.0,1800.0,2000.0,,,,,,,77.0,,,72.0,,,,,,,,,,,,,,,,,,,,,1300.0,1200.0,1500.0,749.0,,,88.0,,,85.0,,,2019-12-31,South Korea,WHO GHO tuberculosis auxiliary indicators
KOR,2020,3.1,2.9,3.3,94.0,87.0,100.0,23110.0,,,1600.0,1500.0,1700.0,,,,,,,76.0,,,76.0,,,,,,,,,,,,,,,,,,,,,1100.0,960.0,1200.0,588.0,,,89.0,,,88.0,,,2020-12-31,South Korea,WHO GHO tuberculosis auxiliary indicators
KOR,2021,3.3,3.1,3.5,94.0,87.0,100.0,21433.0,,,1700.0,1600.0,1800.0,,,,,,,76.0,,,77.0,,,,,,,,,,,,,,,,,,,,,960.0,860.0,1100.0,654.0,,,82.0,,,72.0,,,2021-12-31,South Korea,WHO GHO tuberculosis auxiliary indicators
KOR,2022,2.6,2.5,2.8,94.0,87.0,100.0,19128.0,,,1400.0,1300.0,1500.0,,,,,,,72.0,,,74.0,,,,,,,,,,,,,,,,,,,,,820.0,730.0,910.0,560.0,,,100.0,,,100.0,,,2022-12-31,South Korea,WHO GHO tuberculosis auxiliary indicators
KOR,2023,2.9,2.7,3.1,94.0,87.0,100.0,18361.0,,,1500.0,1400.0,1600.0,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,760.0,670.0,850.0,547.0,,,100.0,,,100.0,,,2023-12-31,South Korea,WHO GHO tuberculosis auxiliary indicators
KOR,2024,2.9,2.7,3.1,94.0,87.0,100.0,16798.0,,,1500.0,1400.0,1600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.0,590.0,750.0,461.0,,,100.0,,,100.0,,,2024-12-31,South Korea,WHO GHO tuberculosis auxiliary indicators
USA,1994,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,1995,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,1996,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,1997,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,1998,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,1999,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2000,0.32,0.32,0.33,75.0,63.0,93.0,16310.0,,,910.0,910.0,920.0,5300.0,2400.0,9400.0,1.6,0.76,2.9,,,,,,,83.0,,,,,,,,,,,,,,,87.0,77.0,100.0,,,,,,,,,,,,,2000-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2001,0.31,0.31,0.31,76.0,63.0,94.0,15945.0,,,890.0,880.0,890.0,4800.0,2100.0,8500.0,1.5,0.67,2.6,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2002,0.31,0.31,0.32,77.0,64.0,95.0,15056.0,,,900.0,900.0,910.0,4100.0,1800.0,7400.0,1.3,0.57,2.3,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2003,0.28,0.27,0.28,78.0,65.0,96.0,14838.0,,,800.0,800.0,810.0,3600.0,1600.0,6600.0,1.1,0.49,2.0,,,,,,,83.0,,,56.0,,,16.0,,,14838.0,,,,,,,,,,,,,,,,,,,,,2003-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2004,0.26,0.25,0.26,79.0,65.0,97.0,14502.0,,,750.0,740.0,750.0,3100.0,1300.0,5700.0,0.97,0.42,1.7,,,,61.0,,,83.0,,,57.0,,,14.0,,,14502.0,,,,,,,,,,,,,,,,,,,,,2004-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2005,0.25,0.24,0.25,80.0,66.0,98.0,14080.0,,,730.0,720.0,730.0,2600.0,1100.0,4800.0,0.8,0.34,1.5,,,,,,,84.0,,,59.0,,,13.0,,,14080.0,,,,,,,,,,,,,,,100.0,,,,,,2005-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2006,0.24,0.23,0.24,80.0,66.0,98.0,13779.0,,,700.0,700.0,710.0,2100.0,850.0,4000.0,0.66,0.27,1.2,,,,72.0,,,84.0,,,60.0,,,12.0,,,13779.0,,,,,,,,,,,,,,,100.0,,,,,,2006-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2007,0.21,0.21,0.21,81.0,67.0,99.0,13299.0,,,630.0,630.0,630.0,1800.0,1300.0,2300.0,0.54,0.46,0.63,,,,85.0,,,85.0,,,62.0,,,11.0,,,13299.0,,,,,,,,,,,,,,,100.0,,,,,,2007-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2008,0.21,0.21,0.22,81.0,67.0,100.0,12904.0,,,650.0,650.0,660.0,1600.0,1200.0,2100.0,0.49,0.42,0.58,,,,67.0,,,85.0,,,63.0,,,10.0,,,12904.0,,,,,,87.0,77.0,100.0,,,,14.0,,,100.0,,,,,,2008-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2009,0.19,0.19,0.19,82.0,68.0,100.0,11545.0,,,590.0,580.0,590.0,1400.0,1000.0,1800.0,0.43,0.36,0.5,,,,63.0,,,60.0,,,62.0,,,9.9,,,11545.0,,,,,,,,,,,,114.0,,,100.0,,,,,,2009-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2010,0.2,0.2,0.2,82.0,68.0,100.0,11181.0,,,620.0,610.0,620.0,1200.0,860.0,1500.0,0.35,0.3,0.41,,,,70.0,,,64.0,,,66.0,,,8.5,,,11181.0,,,,,,,,,,,,92.0,,,100.0,,,,,,2010-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2011,0.19,0.18,0.19,83.0,68.0,100.0,10521.0,,,580.0,580.0,590.0,970.0,720.0,1300.0,0.3,0.25,0.35,,,,79.0,,,78.0,,,83.0,,,7.6,,,10521.0,,,,,,,,,,,,117.0,,,99.0,,,,,,2011-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2012,0.17,0.17,0.17,83.0,69.0,100.0,9945.0,,,550.0,540.0,550.0,890.0,660.0,1100.0,0.27,0.23,0.32,80.0,,,59.0,,,,,,85.0,,,7.4,,,9945.0,,,,,,,,,,,,80.0,,,100.0,,,,,,2012-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2013,0.19,0.19,0.19,84.0,69.0,100.0,9115.0,,,600.0,590.0,600.0,720.0,530.0,930.0,0.22,0.18,0.26,78.0,,,79.0,,,,,,88.0,,,6.6,,,9572.0,,,,,,,,,,,,90.0,,,100.0,,,63.0,,,2013-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2014,0.16,0.16,0.16,84.0,70.0,100.0,8949.0,,,520.0,520.0,520.0,650.0,480.0,850.0,0.2,0.17,0.23,79.0,,,78.0,,,,,,87.0,,,6.1,,,9407.0,,,,,,,,,,,,107.0,,,100.0,,,70.0,,,2014-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2015,0.16,0.16,0.16,85.0,70.0,100.0,9058.0,,,510.0,510.0,520.0,590.0,440.0,760.0,0.18,0.15,0.21,77.0,,,69.0,,,,,,93.0,,,5.5,,,,,,,,,,,,230.0,180.0,280.0,,,,100.0,,,65.0,,,2015-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2016,0.17,0.17,0.17,85.0,71.0,100.0,8814.0,,,560.0,560.0,560.0,590.0,430.0,760.0,0.18,0.15,0.21,77.0,,,69.0,,,,,,93.0,,,5.7,,,,,,,,,,,,220.0,170.0,270.0,113.0,,,100.0,,,67.0,,,2016-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2017,0.16,0.16,0.16,86.0,71.0,110.0,8662.0,,,540.0,540.0,540.0,540.0,400.0,700.0,0.16,0.14,0.19,76.0,,,77.0,,,,,,89.0,,,5.3,,,,,,,,,,,,220.0,170.0,270.0,137.0,,,100.0,,,62.0,,,2017-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2018,0.17,0.17,0.17,86.0,71.0,110.0,8561.0,,,570.0,570.0,570.0,510.0,380.0,660.0,0.15,0.13,0.18,79.0,,,85.0,,,,,,88.0,,,5.1,,,,,,,,,,,,210.0,170.0,260.0,106.0,,,90.0,,,81.0,,,2018-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2019,0.17,0.16,0.17,86.0,71.0,110.0,8493.0,,,560.0,560.0,570.0,470.0,350.0,600.0,0.14,0.12,0.17,74.0,,,84.0,,,,,,86.0,,,4.7,,,,,,,,,,,,210.0,160.0,260.0,86.0,,,94.0,,,86.0,,,2019-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2020,0.19,0.19,0.19,86.0,71.0,110.0,6849.0,,,630.0,630.0,640.0,380.0,280.0,490.0,0.11,0.09,0.14,,,,80.0,,,,,,85.0,,,4.8,,,,,,,,,,,,170.0,130.0,210.0,56.0,,,95.0,,,84.0,,,2020-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2021,0.18,0.18,0.18,86.0,71.0,110.0,7557.0,,,620.0,620.0,630.0,380.0,280.0,490.0,0.11,0.09,0.13,,,,87.0,,,,,,89.0,,,4.3,,,,,,,,,,,,190.0,140.0,230.0,99.0,,,94.0,,,85.0,,,2021-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2022,0.19,0.18,0.19,86.0,71.0,110.0,7726.0,,,640.0,610.0,660.0,420.0,310.0,540.0,0.12,0.1,0.14,,,,,,,,,,92.0,,,4.7,,,,,,,,,,,,190.0,150.0,230.0,109.0,,,93.0,,,87.0,,,2022-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2023,0.16,0.16,0.16,86.0,71.0,110.0,9206.0,,,540.0,540.0,540.0,530.0,390.0,680.0,0.15,0.13,0.18,,,,,,,,,,88.0,,,4.9,,,,,,,,,,,,220.0,170.0,280.0,175.0,,,91.0,,,83.0,,,2023-12-31,United States,WHO GHO tuberculosis auxiliary indicators
USA,2024,0.16,0.16,0.16,,,,,,,540.0,540.0,550.0,550.0,410.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,180.0,290.0,,,,,,,,,,2024-12-31,United States,WHO GHO tuberculosis auxiliary indicators
